author,date,outlet,title,language,link,icon,comment,pic,video,e-paper,audio,audio2
,21-Jun-19,studium.at,Linzer Forscher zeigen große Länderunterschiede im Musikgeschmack auf,German,https://www.studium.at/linzer-forscher-zeigen-grosse-laenderunterschiede-im-musikgeschmack,text,,,,20190621_studiumat_plosone.pdf,,
,21-Jun-19,Wiener Zeitung,Musikgeschmäcker und Watschen,German,../pdfs/20190621_wienerzeitung_plosone.pdf,text,,,,,,
,21-Jun-19,science.ORF.at,Wo der Mainstream-Pop (nicht) beliebt ist,German,https://science.orf.at/v2/stories/2987238/,text,,,,,,
Christine Bauer,28-May-18,"DER STANDARD, Blog: Musik und Technologie",Wie wird ein Song zum Hit?,German,https://www.derstandard.at/story/2000077560797/wie-wird-ein-song-zum-hit,text,,,,,,
Alois Pumhösel,17-Mar-18,DER STANDARD,Die Qual der Musikwahl,German,https://derstandard.at/2000076071328/Die-Qual-der-Musikwahl,text,,,,20180317_derstandard_cmrs.pdf,,
Michi Koffler,13-Feb-18,Noisey Austria,Roboter statt Popstars: Was bedeutet künstliche Intelligenz für die Musikwelt?,German,https://noisey.vice.com/alps/article/ywqpqy/roboter-statt-popstars-was-bedeutet-kunstliche-intelligenz-fur-die-musikwelt,text,Interview on music and artificial intelligence,20180213_noisey_aiandmusic.pdf,,,,
Wolfram Wessels,10-Sep-16,SWR2 Mehrspur. Radio reflektiert,Personalisiertes Radio,German,https://dokublog.de/a/personalisiertes-radio-2,text,"Full interview on the topic ""personalised radio"", from 9:50 onwards",,,,http://www.swr.de/swr2/programm/sendungen/feature/swr2-mehrspur/-/id=659934/did=17507132/nid=659934/sdpgid=1275033/xbzswl/index.html,radiointerview_mehrspur_20160710-1930.12844s_short.mp3
,16-Mar-12,futurezone,This is how Austrian Facebook users tick,English,https://futurezone.at/english/this-is-how-austrian-facebook-users-tick/24.578.523,text,,,,press2012_futurezone_This-is-how-Austrian-Facebook-users-tick.pdf,,
,15-Mar-12,futurezone,Futurezone-Facebook-Studie: Den Usern wird fad,German,https://futurezone.at/digital-life/futurezone-facebook-studie-den-usern-wird-fad/24.577.169,text,,,,press2012_futurezone_Futurezone-Facebook-Studie-Den-Usern-wird-fad.pdf,,
,14-Feb-12,Kurier,WU Wien: Großer Andrang auf Facebook-Studie,German,https://kurier.at/leben/wu-wien-grosser-andrang-auf-facebook-studie/768.019,text,,,,press2012_kurier_wuwien_grosser_andrang_auf_facebook_studie.pdf,,
,13-Feb-12,futurezone,WU Wien: Großer Andrang auf Facebook-Studie,German,https://futurezone.at/digital-life/wu-wien-grosser-andrang-auf-facebook-studie/24.576.594,text,,press2012_futurezone_wuwien_grosser_andrang_auf_facebook_studie.pdf,,,,
,31-Oct-11,DER STANDARD,Künstler brauchen mehr Managementwissen,German,https://www.derstandard.at/story/1319181632404/kunsthochschulen-kuenstler-brauchen-mehr-managementwissen,text,,,,press2011_derstandard_kuenstler_brauchen_managementwissen.pdf,,
Heide Rampetzreiter,28-May-10,Die Presse,"Anna F.: ""Live spielen ist das Wichtigste""",German,https://www.diepresse.com/569878/anna-f-live-spielen-ist-das-wichtigste,text,,,,,,
